Investor,Count
New Era Ventures,1
Wonder Ventures,1
01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz,1
Promus Ventures,1
NewView Capital,1
Ridge Ventures,1
Activant Capital Group,1
Kuang-Chi,1
HCA Healthcare,1
Airbus Ventures,1
Caisse de depot et placement du Quebec,1
DN Capital,1
VebVentures,1
Noshaq,1
Sofinnova Partners,1
China Environmental Protection Industry,1
China Fortune Ocean,1
JTC Group,1
China State Capital Venture Capital Fund,1
Quantum Energy Partners,1
Midea Capital,1
China Health Industry Investment Fund,1
Coatue Managemeny,1
Kae Capital,1
National Grid Partners,1
The Blue Venture Fund,1
Flare Capital Partners,1
Longitude Capital,1
Neuberger Berman,1
Osage University Partners,1
Malabar Investments,1
Loeb.NYC,1
GIC. Apis Partners,1
RTP Global,1
Go-Ventures,1
Romulus Capital,1
Wakefield Group,1
Info Edge,1
Softbank Capital,1
Lockheed Martin Ventures,1
Hillsven Capital,1
Fidelity Investments. RedBird Capital Partners,1
Roche Venture Fund,1
Octopus Ventures,1
CommerzVentures,1
NXC,1
V FUND,1
Revolution,1
Caterpillar,1
Relay Ventures,1
HarbourVest Partners,1
Tus Holdings,1
Route 66 Ventures,1
FAW Group,1
Portag3 Ventures,1
Blue Lake Capital,1
Makers Fund,1
Inova Ventures Participacees,1
HD Capital,1
Qihoo 360 Technology,1
China Fortune Land Development,1
Scentan Ventures,1
Kite Ventures,1
Forest Partners,1
British Patient Capital,1
SEB Venture Capital,1
IQ Capital,1
Motive Partners,1
Piton Capital,1
Goldcrest Capital,1
Core Capital Partners,1
Liberty Gloval Ventures,1
Vertex Ventures Israel,1
Emerge,1
JD.com,1
Big Bets,1
SOFTBANK Latin America Ventures,1
Lifeline Ventures,1
MSD Capital,1
BHP Ventures,1
Rhone Capital,1
China Renaissance,1
"Insight Partners,Menlo Ventures",1
Cercano Management,1
Tencent Investment,1
Astral Capital,1
Vattenfall,1
Nor-Cal Invest,1
Nintendo,1
Pokemon Company International,1
"Sequoia Capital India,Lightspeed India Partners",1
Mountain Nazca,1
